run_idx	sib_mortality	maternal_age_effect	mat_mortality	attenuation_cutoff	if_epi	if_invasion	k_s	x0_s	L_s	max_age	maternal_age_effect_quadratic_term	maternal_age_effect_vertex_x	epi_h	status	stop_reason	final_year	menopause_age_report	menopause_age_mean	dominant_allele	dominant_allele_frequency
0	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4400	>46	46.82835694271037	-22	0.16180823364475472
1	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.64752902013708	-21	0.13758277029099278
2	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4900	>46	46.57317010180495	-22	0.12283139123991563
3	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.60250445044822	-23	0.13159259797256528
4	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4050	>46	46.884653652796594	-22	0.10876064745845777
5	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4300	>46	46.724862719236626	-24	0.10527318845743412
6	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4300	>46	46.57785353077928	-23	0.1529379493182508
7	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	3950	>46	46.80683838619171	-21	0.11804307159471689
8	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.586890894565315	-25	0.11558216671261316
9	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.784358572718354	-21	0.10640088932221162
10	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.77384877082992	-22	0.11516111059220728
11	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4300	>46	46.90071984574921	-23	0.11615956678349812
12	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.719148589955715	-24	0.12799280232680935
13	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4200	>46	46.80191384577418	-22	0.11352884330614717
14	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4400	>46	46.50080967661812	-22	0.12342560133344285
15	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.637270210772805	-22	0.1326062574078221
16	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.6646215358266	-23	0.1386274639620533
17	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	3650	>46	46.94856951098663	-26	0.09124171776624701
18	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.496582138167426	-22	0.12245879287937149
19	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.50608777889782	-23	0.12310583272137605
20	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4400	>46	46.690371590174344	-22	0.12272657331481351
21	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.43100156196264	-23	0.13069597113523898
